"","GN","UnterGN","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"1147",11987,1,2012-02-23,"Russland",274540,"GKV","2B201a","2","B","201a","Tracker"
"1148",11988,1,2012-02-23,"China",5890,"GKV","3A228c","3","A","228c","Tracker"
"1149",11989,1,2012-02-23,"China",98371,"GKV","3A001g2","3","A","001g2","Tracker"
"1150",11990,1,2012-02-23,"Zypern",25000,"GKV","7B003","7","B","003","Tracker"
"1151",11991,1,2012-02-23,"China",658100,"GKV","3A001a2c","3","A","001a2c","Tracker"
"1152",11992,1,2012-02-23,"Russland",1958500,"GKV","2B120|7B003a","2","B","120","Tracker"
"1153",11993,1,2012-02-24,"Thailand",160000,"GKV","2B201a|2B001b1","2","B","201a","Tracker"
"1154",11994,1,2012-02-24,"Schweden",7926,"ML (GKV)","4c","4","c","","Tracker"
"1155",11995,1,2012-02-24,"Hong Kong",28300,"GKV","3A001a2c","3","A","001a2c","Tracker"
"1156",11996,1,2012-02-24,"China",210270,"GKV","2B201a1","2","B","201a1","Tracker"
